"i","result_index"
2,1649.98242691582
3,6618.56412179429
4,1.8946312004878e+22
5,3.24517070907624e+25
6,454824129.900832
7,Inf
8,237413259.274772
9,5.79101716815636e+21
10,42511986729967168
11,28571480777174.9
12,Inf
13,Inf
14,Inf
15,372442002081294272
16,Inf
17,Inf
18,Inf
19,22717710450946162688
20,Inf
21,Inf
22,Inf
23,Inf
24,Inf
25,Inf
26,Inf
27,Inf
28,Inf
29,Inf
30,Inf
31,3.17593625863697e+21
32,Inf
33,3.2835466501891e+22
34,2.61620376787018e+20
35,9.09078638463879e+24
36,Inf
37,3.13451101868581e+27
38,1.5857272437757e+24
39,Inf
40,Inf
41,1.56465608573428e+28
42,Inf
