"i","result_index"
2,1699.25748072527
3,3542895679.331
4,944123.380054094
5,1.09438926179453e+24
6,140580848.449137
7,Inf
8,Inf
9,44287671257557811200
10,Inf
11,5791403992269534
12,Inf
13,1.15919943426767e+27
14,Inf
15,2030344574893680896
16,Inf
17,Inf
18,Inf
19,Inf
20,Inf
21,Inf
22,Inf
23,Inf
24,Inf
25,4.42916289001522e+28
26,Inf
27,Inf
28,3.17637598590567e+27
29,3.91564025099237e+26
30,6.41581642994679e+20
31,3.01959812972282e+27
32,2.33138929644509e+23
33,Inf
34,Inf
35,4.9671718993903e+21
36,Inf
37,1.00663496649284e+28
38,Inf
39,6308028712314566656
40,7.06497499497373e+25
41,1.78089239881718e+22
42,1.98339740258483e+22
