"i","result_index"
2,1399.05972188435
3,258255.316206966
4,7076.08446093592
5,3.05098360520101e+27
6,9.72060388542193e+26
7,Inf
8,Inf
9,17212449941477720
10,43153445247724838912
11,1.28597167166265e+28
12,Inf
13,48012668502720808
14,Inf
15,Inf
16,Inf
17,Inf
18,Inf
19,Inf
20,Inf
21,7.23620038472409e+29
22,Inf
23,Inf
24,Inf
25,Inf
26,Inf
27,37483612890983653376
28,Inf
29,Inf
30,3.69654881400802e+27
31,Inf
32,Inf
33,Inf
34,4.82269002824958e+20
35,Inf
36,2.47407052330669e+25
37,Inf
38,Inf
39,1.17891006754521e+23
40,Inf
41,Inf
42,2.86654704604813e+24
