"i","result_index"
2,7817.68306642086
3,13191.9463600604
4,973078221.227072
5,7.71144454676951e+26
6,1.49805187749622e+30
7,2.59821871929211e+23
8,Inf
9,760828020766205
10,68132704664781381632
11,5.30569182284883e+22
12,Inf
13,742736944158526
14,Inf
15,Inf
16,3.58706979466875e+24
17,1.51110111426981e+20
18,Inf
19,Inf
20,Inf
21,Inf
22,5.34846747320868e+25
23,6.35150507265182e+22
24,Inf
25,2.97529659188543e+23
26,Inf
27,Inf
28,Inf
29,47517110123583808
30,Inf
31,Inf
32,1.72695124441444e+22
33,Inf
34,Inf
35,Inf
36,Inf
37,4.42447427832743e+26
38,1.60476992202739e+25
39,Inf
40,4.25614294659508e+28
41,Inf
42,Inf
