"i","result_index"
2,1957.48501453508
3,349187824.678736
4,390276.512520418
5,982997110.2027
6,1.37893460300207e+24
7,1.06242899397464e+29
8,1.28870542241e+22
9,15109467830624219136
10,8.96262752379692e+21
11,4.36330185390731e+31
12,Inf
13,Inf
14,1.02004280656368e+26
15,Inf
16,Inf
17,Inf
18,3.57869458049547e+20
19,2.61965080626526e+24
20,8700412328764144640
21,7.4920162920297e+20
22,Inf
23,3.32816858724342e+25
24,Inf
25,Inf
26,Inf
27,Inf
28,Inf
29,Inf
30,1.32063454169959e+24
31,9.64555661194106e+26
32,1.65959870805707e+26
33,Inf
34,2.68804713450354e+22
35,8.908325799401e+26
36,3.04463019805775e+21
37,1.01190063060135e+21
38,1.05578804827615e+26
39,Inf
40,9.72321368769888e+24
41,5.75764504959599e+20
42,Inf
