"i","result_index"
2,7.43401009289715
3,4.95608079423029
4,-57400.776883261
5,2.97368174202838
6,-19813.2022522599
7,-13458.2095806535
8,-42.3703613936577
9,-19508.5533499992
10,-14331.2773051383
11,-5494.92570240961
12,-7156.33628065969
13,-11555.3478252643
14,-8094.13762315127
15,-9197.94207755973
16,-6884.14248951882
17,-4815.71935116337
18,-5498.19446006631
19,-7629.99291199659
20,-9841.37842446806
21,-12060.9898307566
22,-4731.16925986309
23,-9667.41463072996
24,-10837.4501358085
25,-6196.19345711844
26,-12121.9872992117
27,-14433.1782498451
28,-7382.73141982164
29,-17670.1847966218
30,-7880.08954872674
31,-10341.9087034519
32,-11879.6707563691
33,-9632.94065448507
34,-7914.16855063148
35,-9505.68770147474
36,-5767.03565886034
37,-8604.53312653059
38,-4170.25993165804
39,-5261.77052674401
40,-8423.89764257796
41,-8305.46737636059
42,-6573.66612757295
