"i","result_index"
2,7.43398806179001
3,4.95615773166323
4,3.71712596537924
5,-31609.3651674471
6,2.47805744465392
7,2.12405972150388
8,1.85854111935921
9,-19508.7718426391
10,-7587.29293914364
11,-6891.26291351914
12,-8778.44476493644
13,-7273.85713955555
14,-3227.94659489084
15,-14712.0633691514
16,-6539.95424844591
17,-7471.57834756069
18,-8313.24341589251
19,-6783.15255212942
20,-6167.21764636384
21,-4736.8962825705
22,-6690.72219456766
23,-8382.04329413241
24,-6572.07210860722
25,-4532.94216496051
26,-4909.02281818301
27,-8935.84832185192
28,-5576.62272481148
29,-4303.82406104899
30,-7250.00068985076
31,-7366.27923889095
32,-9554.08297990111
33,-7874.8662739046
34,-6080.31437928754
35,-9173.49844251977
36,-9625.93981530479
37,-4899.5363804731
38,-6253.77056269021
39,-6252.90763100964
40,-9091.96556111071
41,-4645.18814245823
42,-8202.68906823375
