"i","result_index"
2,7.43421999757682
3,4.95614324533655
4,3.71703351687973
5,-31609.1245508939
6,-19812.6655117932
7,-13458.1947836216
8,1.8585046583439
9,1.65204026057222
10,-14331.4890322214
11,-11015.3617207452
12,-8778.50633734567
13,-7273.85787797684
14,-6230.59969012781
15,-6912.11274736192
16,-17290.4967469701
17,-6849.70384641986
18,-10954.0150701769
19,-12584.9590323389
20,-9617.97460554096
21,-7421.60462916151
22,-14124.3383613321
23,-9356.80643231694
24,-11554.3408033652
25,-7520.54159325728
26,-8480.42901119503
27,-4579.81144279784
28,-11125.016946921
29,-9612.9087945831
30,-8585.01955759865
31,-7564.89347155925
32,-6792.42301924609
33,-2631.5837828307
34,-6541.87310311333
35,-6920.29791745502
36,-8885.52857523952
37,-3507.65259032458
38,-19331.1158248755
39,-11472.03309486
40,-7140.21661061689
41,-5731.52375598601
42,-5902.58749833448
