"i","result_index"
2,7.43412708776231
3,4.95598381706987
4,-57400.8479516923
5,-31613.3693022352
6,-19812.8727605249
7,2.12397195851672
8,-9655.31405250812
9,-7272.19130836539
10,-8937.52252518905
11,-11015.2530852714
12,-12346.8338709485
13,-8350.44173653472
14,-13343.4208279228
15,-5477.20901845236
16,-4918.50586845919
17,-4495.48158956176
18,-4914.48039932976
19,-13511.1717296394
20,-10165.091470702
21,-10538.729952899
22,-8562.77416105423
23,-8292.57234277887
24,-6445.53419747501
25,-10219.0368007274
26,-14199.2596163379
27,-11234.7399570162
28,-10985.5910090913
29,-7954.02585513429
30,-5899.01025618432
31,-5546.57161046639
32,-12553.1404987319
33,-5497.06546554131
34,-13186.4585676027
35,-5830.60399151888
36,-9870.12938361583
37,-10489.0610302257
38,-3319.21424991167
39,-3618.00713579815
40,-11905.341637833
41,-5714.53517412832
42,-8941.73480291804
