"i","result_index"
2,7.42980663305038
3,-131258.981462221
4,-57361.2092895723
5,-31529.9983560384
6,-19730.9929618729
7,-13392.6576460303
8,-63405.2160067895
9,-45164.3434986201
10,-33955.1736822076
11,-26695.6298417012
12,-21793.4637294173
13,-18373.2457327599
14,-15987.9718068303
15,-19435.5418264982
16,-12916.6812704282
17,-26482.7355254061
18,-14143.3373224451
19,-18880.635883218
20,-22749.7972452894
21,-17901.551134613
22,-27242.4577901246
23,-19169.0981236135
24,-27629.7009078858
25,-19121.1808541725
26,-27816.76999888
27,-17791.3672931948
28,-16068.8293734101
29,-16017.725466593
30,-18169.0523727359
31,-17203.548119807
32,-14268.7887604002
33,-11372.7755800872
34,-23108.5156214311
35,-18584.7648777447
36,-21819.7758946446
37,-25064.6510776589
38,-28860.0424628376
39,-22758.4984387112
40,-14368.0450009876
41,-24972.3599249777
