"i","result_index"
2,7.43396780833182
3,-130868.446153153
4,-57402.7170750542
5,-31613.3039418718
6,2.47805498483004
7,2.12398749817716
8,-63842.5705487029
9,-7272.2538053051
10,-14331.3053427252
11,-11015.4377003841
12,-6184.44784765853
13,-7273.84179925716
14,-7233.72462735063
15,-5477.19555250843
16,-5663.21077474646
17,-9282.20018112524
18,-5842.45564656966
19,-6186.11160716719
20,-8330.29311604159
21,-8554.05924190276
22,-7638.7870051452
23,-12094.9201587923
24,-9920.62426816349
25,-3586.33258332501
26,-8073.2882064245
27,-7720.29318968544
28,-13652.6673039192
29,-6929.82640442868
30,-12171.8570588001
31,-8111.67958202968
32,-5657.76358151293
33,-8219.01243998703
34,-7224.5622364633
35,-10135.0858969296
36,-4452.84239402867
37,-10201.8097915284
38,-7423.65740287322
39,-8431.58921814302
40,-9619.19565093681
41,-12051.1653819056
42,-3810.1787463743
