"i","result_index"
2,7.42979829915972
3,-131259.666145952
4,-57361.1998232374
5,-31530.0713622685
6,-19729.4424277183
7,-95161.2692524644
8,-63405.2943281224
9,-45164.3368906073
10,-33955.027658893
11,-26695.7225454011
12,-21795.4012516847
13,-23061.2732461488
14,-15986.4248206914
15,-34086.4978520931
16,-21529.070971805
17,-25616.5509378273
18,-15883.2417998757
19,-14676.9988904008
20,-17562.1681472554
21,-16023.5077036346
22,-20388.9875899157
23,-11853.837364916
24,-30588.7692334739
25,-19627.9669554001
26,-24149.6369321708
27,-17595.1533131503
28,-22538.2112664413
29,-13789.7736380503
30,-23703.2474155004
31,-16166.6195235497
32,-20049.5214120019
33,-15863.8421601678
34,-19618.2663666135
35,-15585.0712077309
36,-17772.1522478898
37,-19914.4866446265
38,-20436.5385177531
39,-16488.5569100634
40,-19083.7919515561
41,-19825.9473970383
