"i","result_index"
2,7.42979034625071
3,-131259.600485681
4,-57360.9582281393
5,-31530.1073062164
6,-19737.8615426199
7,-13393.26877173
8,-63404.6422677306
9,-53667.0507434455
10,-33954.6347208196
11,-26695.7181794998
12,-21795.4059689905
13,-16971.0198277688
14,-18376.2626396175
15,-15650.9708986074
16,-17201.6542060848
17,-15468.6108471816
18,-14137.8418325133
19,-29096.5655360416
20,-19193.7280589712
21,-14797.0123770472
22,-14888.1278935707
23,-19473.3622134627
24,-10666.7150615558
25,-15490.7458386317
26,-14270.6754392026
27,-24733.436308541
28,-17651.0311594995
29,-15107.6152155109
30,-18061.0063357793
31,-24232.4768939
32,-24714.7462158872
33,-21316.8826511231
34,-20864.5995341066
35,-12983.7865237496
36,-16405.4707177
37,-14246.0181474916
38,-19144.0970373662
39,-15820.7317966271
40,-20233.7240717245
41,-17571.9834171839
