"i","result_index"
2,7.42979564639235
3,-131259.30876412
4,-57361.199811103
5,-31530.0501168302
6,-19729.4610942525
7,-13384.5308474069
8,-63405.1743004887
9,-45163.5741439858
10,-33954.694066639
11,-10949.3405108957
12,-12309.5661631921
13,-26198.1842426128
14,-22590.3333776563
15,-7634.54696930179
16,-17201.6679820692
17,-15468.6107907026
18,-17109.339443284
19,-13101.3025054263
20,-15135.4158790337
21,-9645.28500530859
22,-16609.8203411652
23,-12306.6350782702
24,-15349.614736922
25,-19558.7115704367
26,-15091.4541609783
27,-21324.386612599
28,-25523.3163360195
29,-13771.922237782
30,-21569.5258388069
31,-21515.7008938451
32,-22067.4138051889
33,-34820.2854087825
34,-12171.3202567849
35,-21724.607334308
36,-23759.1271878057
37,-16375.0609115751
38,-20553.8280781702
39,-20586.5773680435
40,-24717.3934256563
41,-15880.2612144749
