"i","result_index"
2,2123.75747144174
3,2959307308247.74
4,569333938.822189
5,29970606.3359225
6,3.4052303317578e+29
7,4.22295929716572e+24
8,Inf
9,1.71004275271902e+22
10,367213739698756
11,5553794097429357568
12,Inf
13,Inf
14,9.74665947507696e+28
15,4.23980832829929e+24
16,1.67821952032833e+29
17,1.07725234186096e+20
18,Inf
19,Inf
20,Inf
21,3.50088805652995e+22
22,Inf
23,Inf
24,3.7894490950986e+28
25,Inf
26,3.33850853562558e+22
27,Inf
28,1.85122597991193e+26
29,Inf
30,Inf
31,Inf
32,Inf
33,Inf
34,Inf
35,Inf
36,Inf
37,3.30217406698232e+21
38,Inf
39,Inf
40,5.56417060402775e+25
41,20598149560100171776
42,8.40249753422177e+21
