"i","result_index"
2,1423.4923113044
3,5389.98794643145
4,391253.86932407
5,2.54233929234375e+20
6,6.89694408491567e+28
7,Inf
8,25297325756.2311
9,47397423306656923648
10,Inf
11,6.25775773662992e+27
12,Inf
13,Inf
14,Inf
15,1206326501742917
16,1.85165688150835e+20
17,8.31043714150153e+28
18,Inf
19,6346905653313218
20,Inf
21,5.17406513946449e+26
22,1.0420012526607e+25
23,2.36018537542666e+29
24,Inf
25,Inf
26,1.31215194400132e+26
27,Inf
28,3.40552977621512e+20
29,Inf
30,Inf
31,Inf
32,5.17495475353187e+25
33,2.27016244747536e+21
34,Inf
35,3.85600452720119e+25
36,5.50704712961393e+20
37,99251780902774915072
38,Inf
39,8.85850920312823e+24
40,5.78597254540362e+25
41,301379704829888768
