"i","result_index"
2,1900.71582180718
3,117106.393646013
4,6.13782635989313e+23
5,2.48705010131853e+20
6,4.59039935597481e+26
7,1.88787376392265e+22
8,Inf
9,1859025270680292608
10,1.1739537142557e+23
11,5.60003505919704e+25
12,Inf
13,Inf
14,6.95390458358248e+20
15,Inf
16,Inf
17,Inf
18,Inf
19,4.40726468947364e+20
20,7.26513745548436e+21
21,8.70308212671141e+27
22,7.31469882459894e+23
23,7296581682026918912
24,22001948163718496
25,Inf
26,Inf
27,Inf
28,3.17542407834474e+27
29,3.39517922403463e+29
30,335428410325021824
31,Inf
32,Inf
33,1.50288070733733e+28
34,1.29195444803314e+20
35,Inf
36,15765735116920291328
37,Inf
38,11237127382333169664
39,4.50607994358952e+22
40,308864406720685568
41,Inf
