"i","result_index"
2,2309.51371969266
3,65576.8556252402
4,Inf
5,1729417833126935296
6,3.72537489422295e+28
7,713248.391451476
8,7.84916846772565e+25
9,1.32274594943072e+23
10,Inf
11,6.19093594559757e+20
12,Inf
13,Inf
14,40430316987.605
15,2.5313030994382e+22
16,1.39542078441688e+22
17,Inf
18,1.54913479645424e+26
19,Inf
20,75511423942802096128
21,Inf
22,1.3040364658497e+22
23,Inf
24,Inf
25,Inf
26,Inf
27,Inf
28,Inf
29,Inf
30,Inf
31,2.17129731484162e+23
32,4.29283866029906e+22
33,Inf
34,39975222522387768
35,Inf
36,3082543332614636544
37,Inf
38,Inf
39,391333543737784256
40,Inf
41,Inf
