"i","result_index"
2,7.43457243771848
3,-130883.022327467
4,-57431.7147441097
5,-114139.214729304
6,-19814.752225545
7,-95811.8980452411
8,-28336.8643969201
9,-19510.6043371803
10,-14332.871512748
11,-26860.8839836964
12,-12346.6508539211
13,-12240.5917114189
14,-16066.1630442462
15,-27981.7798113119
16,-17290.4995886855
17,-21725.1154228131
18,-29991.3038533739
19,-13152.935817343
20,-21021.2593323542
21,-16792.7612195867
22,-14537.4360444392
23,-12454.8718703432
24,-13534.9984752373
25,-21880.5785510964
26,-21994.1968284639
27,-11662.4600648633
28,-17988.6222837959
29,-17428.6878755592
30,-12205.1266049283
31,-22340.1180144233
32,-12417.1178258975
33,-12792.7201198965
34,-17535.1371603433
35,-21771.5282963822
36,-23832.7510225455
37,-22289.0843576952
38,-23318.5557726927
39,-19706.6005681152
40,-20123.9170035875
41,-24162.0666279089
42,-18432.4466479451
