"i","result_index"
2,7.43466929843897
3,-130883.067119859
4,-57405.1874723128
5,-31613.3664079586
6,-19829.8860204353
7,-13465.7782646707
8,-63842.914731387
9,-45470.041767271
10,-34179.1510424058
11,-20034.7992576562
12,-30130.1864736192
13,-10127.584507592
14,-11349.8329143861
15,-19604.1639328161
16,-21685.5157843904
17,-15542.0067748123
18,-14199.1168702659
19,-15883.7145698618
20,-20150.2231077389
21,-19277.3727453017
22,-11139.1611425403
23,-18353.4154040444
24,-20366.7302567362
25,-14888.5488514285
26,-12536.2623499619
27,-13534.4294472766
28,-23823.9009807244
29,-22587.6917622913
30,-17507.6132280769
31,-21374.0511083011
32,-16326.4384019026
33,-20640.1342162563
34,-18940.2814868805
35,-15886.9308106304
36,-18589.8964269879
37,-22793.3861910002
38,-17587.5881875319
39,-22624.4678313302
40,-13212.1218913488
41,-22486.667279117
42,-23149.7695858502
