"i","result_index"
2,0.90024993087577
3,-0.560451303126393
4,0.268799720795551
5,0.342392117360199
6,0.35081162176495
7,0.402432108156724
8,0.41250167350386
9,0.130446538696006
10,0.101095409364798
11,0.0792737148175973
12,0.0583427779585167
13,0.0549186152255894
14,-0.581508800859411
15,0.437717253222794
16,0.0513462294552085
17,0.0288626073359833
18,-0.340660166688216
19,0.0901378498762354
20,-0.308865167836276
21,-0.0675039288616319
22,-0.108987103000794
23,-0.4777241663259
24,-0.697365680161966
25,-0.167158542791684
26,-0.0366066979363194
27,-0.347785790992965
28,-0.0714995593423237
29,0.149505003419302
30,-0.11132716775943
31,-0.381819398464454
32,-0.351053697516697
33,-0.145197239498853
34,-0.231260775086506
35,-0.100181431438325
36,-0.078437983385165
37,0.0354462281431971
38,0.0947514944576895
39,0.297864734269717
40,-0.132652270250397
41,0.263230066645774
