"i","result_index"
2,0.900250065304547
3,0.252579219386289
4,0.268885130913445
5,0.341428330366215
6,0.346897003103358
7,0.947783484227713
8,0.412501555246034
9,0.142520497467574
10,0.442596055177053
11,0.0794274847550454
12,-0.554552728654094
13,0.0250198676544035
14,0.0480025829798282
15,0.0770042868496499
16,-0.0663459257445676
17,-0.166790617844607
18,0.0256077291988728
19,0.0683217553138206
20,0.077051341440264
21,0.0439294439022143
22,0.492222926412136
23,-0.287270302342486
24,-0.0744625574030183
25,-0.357714232367616
26,0.0558901639211343
27,-0.259970351605448
28,-0.418529037657663
29,-0.479683555809061
30,-0.453717247554532
31,-0.385984882764594
32,-0.0608547566440228
33,-0.107732577412401
34,-0.344099450737775
35,-0.28240706018869
36,0.0771699278006175
37,0.283618395922434
38,-0.21470621367979
39,-0.00172002341337203
40,0.221817586335154
41,-0.140303873743401
