"i","result_index"
2,0.900250042914939
3,0.325056905290865
4,0.266703918265296
5,0.316966651167641
6,0.378876022514466
7,0.386554772042389
8,0.412510840533102
9,0.142530631151628
10,0.101103161074478
11,0.0794242592922777
12,0.0777780461781831
13,-0.761330241074718
14,-0.551517604136583
15,0.0399334442012435
16,-0.763570793484195
17,0.0903577981690922
18,0.0256070435370414
19,-0.308282545507191
20,-0.447023011723765
21,0.0357792182609035
22,-0.44967977820402
23,-0.142509411397306
24,0.402230647494444
25,-0.151033348423447
26,-0.0993551162281736
27,-0.433451882205501
28,-0.24019722236687
29,-0.504180522701657
30,0.0768106735860769
31,0.253962025510731
32,0.265240493175062
33,0.272800056011229
34,0.215577635715229
35,-0.0251072320246649
36,0.21626661790584
37,-0.0485312540173067
38,0.319327343216926
39,0.25040754233402
40,-0.0795109672887361
41,0.00741897048282014
